ITEM_ID,CATEGORY_L1,CATEGORY_L2,PRODUCT_DESCRIPTION,PRICE,GENDER
e1669081-8ffc-4dec-97a6-e9176d7f6651,apparel,scarf,Sans pareil scarf for women,124.99,F
6e6ad102-7510-4a02-b8ce-5a0cd6f431d1,apparel,jacket,This gainsboro jacket for women is perfect for the city,133.99,F
49b89871-5fe7-4898-b99d-953e15fb42b2,electronics,speaker,High definition speakers to fill the house with beautiful music,196.99,ANY
5cb18925-3a3c-4867-8f1c-46efd7eba067,footwear,sandals,This spiffy pair of sandals for woman is perfect for the summer,9.99,F
ee0cec46-8edf-4436-84f0-d83e7f9c453f,furniture,chairs,Relax in this nice blue armchair,160.99,ANY
0d6971a2-cffb-4602-9d4a-8edef2ac9d22,homedecor,decorative,This ceramic vase is a must-have for your home decor,60.99,ANY
7f9e25ec-34a9-4b27-9f97-041c58e6640e,accessories,glasses,Edgy glasses for women,56.99,F
eb8f10ab-1317-4a11-b058-b2098bb64326,housewares,kitchen,Outstanding for every kitchen,55.99,ANY
b11944ce-c888-4ddb-8f64-f89a6d628288,accessories,glasses,Swanky glasses for women,99.99,F
a6432520-a9fe-42a3-8e04-58cd50d18fb0,seasonal,easter,A favorite for early April,46.99,ANY
8a4af646-ffb5-4413-a201-750537e2a318,footwear,formal,Pair of black formal shoes for men,9.99,M
95677239-43cc-44e4-a97f-4a9c072210ae,furniture,chairs,Swanky gainsboro armchair for any room,211.99,ANY
ab6462b7-2061-42ba-a19f-a1efc877d800,furniture,chairs,Relax in this nice peru-orange armchair,155.99,ANY
e1d2ec50-2970-43be-aeb7-fc90779086b7,floral,bouquet,Wedding bouquet delivered fresh and vibrant from our growers,102.99,ANY
e65ad5b5-6860-4444-b873-9368c49cf30c,tools,plier,This plier is a must-have for your toolbox,11.99,ANY
25a3547f-4a86-46f5-857a-fc17aa2b8fa0,outdoors,kayaking,This venturous kayak will take you everywhere,412.99,ANY
2a33865f-f45b-475f-9e35-29c8de4dc42d,outdoors,camping,This camping tent is essential in the wilderness,180.99,ANY
dd9e97a6-4281-40a5-9048-fde7809623fb,electronics,cable,This high quality cabling is unequaled for your electronics at home and on the go,13.99,ANY
87603f27-7e5a-441e-95f6-ee33878695da,furniture,tables,Increase your productivity with this unrivaled gainsboro worktable,295.99,ANY
4e3dc511-426f-4fdd-9e15-58a7c74c9ff4,homedecor,lighting,This hanging lamp is a must-have for the lighting of your home,16.99,ANY
8cab347e-fa92-46c5-8a0e-371229e1c539,furniture,dressers,This definitive dresser has lots of drawers to organize all your items,186.99,ANY
25f47b5f-b4c7-4233-ad13-184da65d9bc8,electronics,cable,This high quality cabling is definitive for your electronics at home and on the go,5.99,ANY
75899182-0ec8-4cc8-b578-dcb8d18fad55,furniture,dressers,This unrivaled dresser has lots of drawers to organize all your items,230.99,ANY
bd446035-3a6f-49b0-a1c3-d346d12cb877,seasonal,valentine,A must-have for that special day,55.99,ANY
e53a6570-3a3f-4ca8-b6dc-8ff378bca757,books,travel,Plan your next trip with this essential reference book on Sweden,12.99,ANY
70d44a58-e099-40ea-8c01-575013ff0be2,outdoors,kayaking,Explore the waterways with this bold kayak,305.99,ANY
f5aea4cc-13dc-492b-a744-27a5e3f718cf,tools,screwdriver,Essential screwdriver for every craftperson,13.99,ANY
8e772d7a-3921-4cf8-bf97-e428e90eeba1,groceries,meat,Our beef is raised sustainably by our farmers,13.99,ANY
959732aa-01c5-4416-8a60-067797539182,outdoors,fishing,Sure-fire and easy to use fishing reel,55.99,ANY
6685cdbb-07c0-448d-9927-a5477e610363,homedecor,decorative,This ceramic vase is a must-have for your home decor,33.99,ANY
27611481-bedc-4ffd-b8e6-4af2a34d5b3e,groceries,dairy,This cheese is fresh from our dairy farms,3.99,ANY
202ee1c4-22af-4329-8672-b218174bf293,accessories,handbag,This funky tan handbag is the perfect accessory for casually toddling all over,81.99,F
ddb21847-ca9b-45ec-b7fc-4cf3409ffda7,apparel,scarf,Fashionable scarf for women for every occasion,94.99,F
3d7fefba-b18a-4571-8a5f-0fc7547c7513,homedecor,clock,This wall clock will keep you on time,144.99,ANY
f7c1d04c-3076-4389-b06a-91993c983777,footwear,boot,This pair of saddle brown boots is first-class for the autumn,146.99,F
14c5314c-6325-41e9-8e5b-4f72f5b05f27,groceries,fruits,This delicious fruit is everyone's favorite,2.99,ANY
c26e6166-6609-4e61-a674-3e58b6dfc7fc,furniture,tables,Increase your productivity with this incomparable worktable,269.99,ANY
baa6a74a-015f-41dd-8dd8-bdfc8dc1918a,footwear,sneaker,An all-around intrepid pair of light slate gray sneakers,110.99,M
3818f451-1478-42e4-8d0d-a3a4779dbc6d,electronics,camera,Camera for amateurs and professonals,9.99,ANY
e64a78fe-21c6-4a9d-afd2-454692ad7196,electronics,computer,Desktop computer for your computing needs,9.99,ANY
0dc8e3c4-4556-45fe-a80f-48176777fb83,footwear,formal,Pair of neon pink formal shoes for women,9.99,F
c3801e4e-9cdf-4ca8-80ec-7c7ce09a84fa,accessories,glasses,These cool glasses for women are perfect everywhere,103.99,F
e75ccb4c-17a5-4746-b307-803dc61fce7d,instruments,strings,This acoustic guitar will delight the most demanding musician,343.99,ANY
b55e794f-1137-4de2-bcea-806041e080e6,books,travel,Plan your next trip with this essential reference book on China,10.99,ANY
99c88141-7b7c-403b-b8eb-5dd5e8efd4a4,housewares,kitchen,A must-have for your kitchen,59.99,ANY
020a5afe-fb13-4499-a1fa-8594d326eaa0,housewares,bowls,This elegant ceramic bowl is a must-have,31.99,ANY
654926f7-2240-429e-9222-f705d62a8841,groceries,fruits,This delish fruit is everyone's favorite,3.99,ANY
e50a3585-a7be-4481-a4bb-4769a6066c91,groceries,meat,Our beef is organic and raised sustainably,8.99,ANY
9d5f948a-713b-40c8-a1f8-2a289dcada5b,housewares,kitchen,A must-have for your kitchen,63.99,ANY
468f0798-8c51-4846-b8ee-c9fea3a32cf4,books,travel,Plan your next trip with this essential reference book on Greece,12.99,ANY
6d488475-1d67-4076-96b1-8e706709a847,housewares,kitchen,A must-have for your kitchen,75.99,ANY
a791d017-1dff-4632-bd32-cf91d966d3c4,homedecor,cushion,This set of cushions is very stylish,43.99,ANY
0f4a0199-9ad9-422a-9bca-868723b659a9,footwear,sneaker,Dashing pair of dark blue shoes for ambling in a new city,107.99,M
547c307d-f756-4e69-af71-897352247169,groceries,vegetables,This flavorful veggie is a must-have in every pantry,7.99,ANY
87e34e87-de1f-4a83-9343-c885e82941b8,furniture,chairs,Relax in this soft white armchair,243.99,ANY
63911783-3144-410c-b521-25bff67ec494,groceries,fruits,This delicious fruit is everyone's favorite,2.99,ANY
74752034-abd6-482b-a652-eca3bdbc906e,apparel,shirt,Pale green tee for men,80.99,M
17b30ddf-a797-42ba-8145-364fd62e724c,apparel,socks,Fashionable and colorful socks,6.99,M
d7886985-e5fa-4e4c-984c-d3e5be1036f5,housewares,bowls,Stylish ceramic bowl for every occasion,24.99,ANY
88d2eee9-2791-4cd7-b768-a08b6b590d38,floral,bouquet,Wedding bouquet grown sustainably on our organic farms,114.99,ANY
ee882660-2b73-4243-beea-e34541a94a4e,groceries,meat,Our beef is raised sustainably by our farmers,13.99,ANY
3f3b3c2d-b2ca-450f-9280-98f29b3371d5,footwear,sandals,This spiffy pair of sandals for woman is perfect for the summer,9.99,F
